polling district,Name,Address,Latitude,Logitude,
"RSA, RSB",Cutnall Green Memorial Hall,"Addis Lane, Cutnall Green, Worcestershire, WR9ÿ0NB",52.311,-2.167,"52.311, -2.167"
AV,Defford-Cum-Besford Village Hall,"Harpley Road, Defford, Worcs, WR8ÿ9BL",52.0868,-2.1233,"52.0868, -2.1233"
"NEA, NEB",Drakes Broughton Village Hall,"Walcot Lane, Drakes Broughton, Worcs, WR10ÿ2AJ",52.1346,-2.1062,"52.1346, -2.1062"
"DBE, DBL",Droitwich Community Hall,"Heritage Way, Droitwich Spa, Worcs, WR9ÿ8RF",52.2662,-2.1519,"52.2662, -2.1519"
AX,Eckington Village Hall,"School Lane, Eckington, Worcs, WR10ÿ3AU",52.0706,-2.1114,"52.0706, -2.1114"
"AZB, AZC",Elmley Castle Village Hall,"Pershore Road, Elmley Castle, Pershore, Worcs, WR10ÿ3HW",52.1081,-2.0872,"52.1081, -2.0872"
"RFB, RFC, RG",Fernhill Heath Memorial Hall,"Droitwich Road, Fernhill Heath, Worcester, WR3ÿ8RJ",52.2305,-2.1891,"52.2305, -2.1891"
BI,Fladbury Village Hall,"Church Street, Fladbury, Pershore, Worcs, WR10ÿ2QB",52.1148,-2.0076,"52.1148, -2.0076"
"NF, NGA, NGB",Flyford Flavell First School,"Radford Road, Flyford Flavell, Worcs, WR7ÿ4BS",52.1928,-2.0306,"52.1928, -2.0306"
"DG, AZA",Frank Parkinson Centre,"Pershore College, Avonbank, Pershore, Worcs, WR10ÿ3JP",52.193,-2.031,"52.193, -2.031"
BFB,Function Room (Strawberry Field),"Strawberry Field, Public House, Charity Crescent, Evesham, Worcs, WR11ÿ2UT",52.0772,-1.9396,"52.0772, -1.9396"
AS,Great Comberton Village Hall,"Eckington Road, Great Comberton, Worcs, WR10ÿ3DP",52.0858,-2.1108,"52.0858, -2.1108"
"RTA, RTB",Hampton Lovett Parish Room,"The Forrest, Hampton Lovett, Droitwich Spa, Worcs, WR9ÿ0LU",52.2881,-2.1664,"52.2881, -2.1664"
BC,Hampton scout guide and community hall,"Pershore Road, Hampton, Evesham, Worcs, WR11ÿ2PQ",52.0866,-1.961,"52.0866, -1.961"
RN,Hanbury Parish Hall,"Hanbury Road, Hanbury, B60ÿ4BY",52.2693,-2.0542,"52.2693, -2.0542"
RA,Hartlebury Parish Hall,"Waresley Court Road, Hartlebury, DY11ÿ7TG",52.3305,-2.2355,"52.3305, -2.2355"
BM,Harvington Village Hall,"Village Street, Harvington, Worcs, WR11ÿ8NJ",52.1404,-1.9208,"52.1404, -1.9208"
NH,Hill & Moor Parish Hall,"Cherry Orchard Road, Lower Moor, Nr Perhore, Worcs, WR10ÿ2PN",52.1247,-2.0314,"52.1247, -2.0314"
"RLA, RLB",Himbleton Parish Hall,"Church Lane, Himbleton, WR9ÿ7LG",52.2263,-2.0802,"52.2263, -2.0802"
