Address,Postcode,Easting,Northin
West of Cod Beck Friends Meeting House Kirkgate Thirsk North Yorkshire YO7 1PL,YO7 1PL,442802,482128
Carlton Husthwaite Village Hall Carlton Husthwaite Thirsk North Yorkshire YO7 2BJ,YO7 2BJ,449600,476703
Cold Kirby Village Hall Cold Kirby Thirsk North Yorkshire YO7 2HL,YO7 2HL,453332,484474
Old Oak Tree Room 4 South Kilvington Thirsk YO7 2NL,YO7 2NL,442547,484035
Bagby - Church Hall Bagby Thirsk North Yorkshire YO7 2PH,YO7 2PH,446383,480521
The New Village Hall Sutton-under-Whitestonecliffe Thirsk North Yorkshire YO7 2PS,YO7 2PS,448234,482551
Sessay Village Hall Sessay Thirsk North Yorkshire YO7 3BE,YO7 3BE,445782,475190
Dalton - Village Hall Dalton Thirsk North Yorkshire YO7 3JW,YO7 3JW,443190,476344
Topcliffe Village Hall Topcliffe Thirsk North Yorkshire YO7 3PD,YO7 3RJ,440053,476020
Knayton with Brawith Village Institute Knayton Thirsk North Yorkshire YO7 4AZ,YO7 4AZ,443275,487997
Carlton Miniott - Vale of York Carlton Road Carlton Miniott YO7 4LX,YO7 4LX,440831,481559
Borrowby -  Village Institute Borrowby Thirsk North Yorkshire YO7 4QN,YO7 4QN,442823,489273
Sandhutton Village Hall Sandhutton Thirsk North Yorkshire YO7 4RS,YO7 4RS,438169,482148
The Village Hall Wass Bank Road Wass Helmsley YO61 4BE,YO61 4BE,455561,479440
Scout Hut Parochial Church Hall Sowerby Thirsk North Yorkshire YO7 1JG,YO7 1JG,443120,481373
Thirkleby Village Hall Thirkleby Thirsk YO7 2AT,YO7 2AT,447533,478947
Village Hall Wains Lane Staxton Scarborough North Yorkshire YO12 4SF,YO12 4SF,501169,479108
