"Polling_District","UPRN"
"AA0",100100822566
"AA0",100100822567
"AA0",100100822568
"AA0",100100822569
"AA0",100100822570
"AA0",100100822572
"AA0",100100822574
"AA0",100100822578
"AA0",100100822579
"AA0",100100822580
"AA0",100100822581
"AA0",100100822583
"AA0",100100822586
"AA0",100100822587
"AA0",100100827524
"AA0",100100827525
"AA0",100100827526
"AA0",100100827527
"AA0",100100827533
"AA0",100100827534
"AA0",100100827536
"AA0",100100827537
"AA0",100100827538
"AA0",200001485545
"AA0",200001485553
"AA0",200001485555
"AA0",200001485575
"AA0",200001896912
"AB0",64002663
"AB0",64002668
"AB0",64002669
"AB0",64002670
"AB0",64002672
"AB0",64002877
"AB0",64002878
"AB0",64002879
"AB0",64002880
"AB0",64002881
"AB0",64002882
"AB0",64002883
"AB0",64002884
"AB0",64002885
"AB0",64002886
"AB0",64002887
"AB0",64002888
"AB0",64002889
"AB0",64002890
"AB0",64002892
"AB0",64002893
"AB0",64002894
"AB0",64002895
"AB0",64002896
"AB0",64002897
"AB0",64002898
"AB0",64002899
"AB0",64002900
"AB0",64002903
"AB0",64002907
"AB0",64002910
"AB0",64002912
"AB0",64002913
"AB0",64002914
"AB0",64002915
"AB0",64002916
"AB0",64002917
"AB0",64002918
"AB0",64002919
"AB0",64002920
"AB0",64002921
"AB0",64002922
"AB0",64002923
"AB0",64002924
"AB0",64002925
"AB0",64002926
"AB0",64002927
"AB0",64002928
"AB0",64002929
"AB0",64002930
"AB0",64002931
"AB0",64002932
"AB0",64002933
"AB0",64002934
"AB0",64002935
"AB0",64002936
"AB0",64002937
"AB0",64002938
"AB0",64002939
"AB0",64002940
"AB0",64002941
"AB0",64002942
"AB0",64002943
"AB0",64002944
"AB0",64002945
"AB0",64002946
"AB0",64002950
"AB0",64002952
"AB0",64002953
"AB0",64002954
"AB0",64002955
"AB0",64002956
"AB0",64002957
"AB0",64002958
"AB0",64002959
"AB0",64002960
"AB0",64002961
"AB0",64002962
"AB0",64002963
"AB0",64002964
"AB0",64002965
"AB0",64002966
"AB0",64013891
"AB0",64013991
"AB0",64014003
"AB0",64014085
"AB0",64014098
"AB0",64014099
"AB0",64016099
"AB0",64020275
"AB0",64020276
"AB0",64020277
"AB0",64020300
"AB0",64020301
"AB0",64020302
"AB0",64020303
"AB0",64020304
"AB0",64020305
"AB0",64020306
"AB0",64020307
"AB0",64020308
"AB0",64020309
"AB0",64020310
"AB0",64020311
"AB0",64020420
"AB0",64020421
"AB0",64020422
"AB0",64020423
"AB0",64020424
"AB0",64020425
"AB0",64020426
"AB0",64020427
"AB0",64020428
"AB0",64020429
"AB0",64020430
"AB0",64020431
"AB0",64020432
"AB0",64020433
"AB0",64020436
"AB0",64020437
"AB0",64020438
"AB0",64020439
"AB0",64020440
"AB0",64020441
"AB0",64020442
"AB0",64020443
"AB0",64020444
"AB0",64020445
"AB0",64020446
"AB0",64020447
"AB0",64020448
"AB0",64020449
"AB0",64020450
"AB0",64020451
"AB0",64020452
"AB0",64020453
"AB0",64020454
"AB0",64020455
"AB0",64020456
"AB0",64020457
"AB0",64020458
"AB0",64020459
"AB0",64020460
"AB0",64020461
"AB0",64020462
"AB0",64020463
"AB0",64020464
"AB0",64020465
"AB0",64020466
"AB0",64020467
"AB0",64020468
"AB0",64020469
"AB0",64020470
"AB0",64020471
"AB0",64020472
"AB0",64020473
"AB0",64020474
"AB0",64020476
"AB0",64020477
"AB0",64020478
"AB0",64020479
"AB0",64020480
"AB0",64020481
"AB0",64020482
"AB0",64020483
"AB0",64020484
"AB0",64020485
"AB0",64020486
"AB0",64021517
"AB0",64021519
"AB0",64021524
"AB0",64021530
"AB0",64021541
"AB0",64021542
"AB0",64021543
"AB0",64021544
"AB0",64021545
"AB0",64021546
"AB0",64021547
"AB0",64021548
"AB0",64021549
"AB0",64021550
"AB0",64021552
"AB0",64021553
"AB0",64021554
"AB0",64021555
"AB0",64021556
