FID,OBJECTID,POLLING_DISTRICT,ID,NAME,UPRN,EASTING,NORTHING,LATITUDE,LONGITUDE,SHAPE
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5035,76,EWF,EWF,DISC,009059046431,341034,731977,56.47620267,-2.95885035,POINT (341030.1688 731988.133300001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5034,77,EWG,EWG,Clepington PS,009059030595,341009,731600,56.47281305,-2.9591707,POINT (341009.997 731599.596999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5033,78,EWH,EWH,St Patricks Memorial Hall,009059085002,341032,731282,56.46995943,-2.9587254,POINT (341033.687 731282.855699999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5032,79,EWI,EWI,St Patricks Memorial Hall,009059085002,341032,731282,56.46995943,-2.9587254,POINT (341033.687 731282.855699999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5031,80,EWJ,EWJ,Fleming Gardens Communal Lounge,009059068079,340273,732018,56.47647495,-2.97121176,POINT (340273.601 732016.531300001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5030,81,WEA,WEA,Sidlawview PS,009059075352,339479,734032,56.49446449,-2.98456796,POINT (339481.819 734030.494000001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-502f,82,WEB,WEB,Mill O Mains PS,009059040857,341073,733853,56.49305913,-2.95864225,POINT (341057.2484 733853.613500001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-502e,83,WEC,WEC,Foula Terrace Sheltered Housing,009059026487,341439,733447,56.48945788,-2.95260751,POINT (341447.2646 733446.312200001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-502d,84,WED,WED,Marryat Hall,009059036563,340379,730150,56.4597087,-2.96906361,POINT (340379.745 730150.5404)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-502c,85,WBL,WBL,St Marys Magdalene Church,009059070246,339899,730643,56.46407612,-2.97696495,POINT (339900.1472 730644.865499999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-502b,86,EWK,EWK,United Free Church,009059078251,339844,731986,56.47613283,-2.97816762,POINT (339844.6507 731985.572899999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-502a,87,WBO,WBO,Balgay Hill Nursery School,009059102621,338718,730322,56.46104038,-2.99605235,POINT (338707.5122 730337.5036)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5029,88,EWD,EWD,North End Social Club Club,009059020350,339734,732323,56.47914591,-2.98003108,POINT (339734.5307 732319.4123)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5028,89,WBN,WBN,Dundee University Student Association (DUSA),009059063994,339567,729942,56.45773674,-2.98218942,POINT (339567.1224 729942.5986)
